smiles,zinc_id,mw,xlogp,source_file,max_similarity_to_positive,matched_positive_smiles
O=C1NC(=O)[C@@]2(CCCNC2)N1,22014930,169.184,-1.052,AAAA.txt,0.26666666666666666,C1CNC(=O)NC1
N[C@@H]1COC[C@@H]1n1cc(CO)nn1,307216245,184.199,-1.331,AAAA.txt,0.16666666666666666,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
NCCN1CCCS1(=O)=O,37506280,164.23,-1.019,AAAA.txt,0.23076923076923078,CN1CCCC1
O=S1(=O)CCN[C@@H](CCO)C1,94512656,179.241,-1.245,AAAA.txt,0.15151515151515152,C1N(CN(CN1CCO)CCO)CCO
O=C(O)[C@@H]1C(=CCO)O[C@@H]2CC(=O)N12,1857524329,199.162,-1.096,AAAA.txt,0.2391304347826087,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
NC(=O)NCCC[C@@H](N)C(=O)O,2166829,175.188,-1.153,AAAA.txt,0.27586206896551724,C(=O)(N)NC(=O)O
COC(=O)C[C@H]1NC(=O)NC1=O,1431717,172.14,-1.243,AAAA.txt,0.2702702702702703,CCCCCCCCCC(=O)OC
CN(C)C(=O)C[C@H](N)C(=O)O,8203399,160.173,-1.123,AAAA.txt,0.2972972972972973,C1=NN(C=N1)CC(C(=O)O)N
O=C(CCO)NCCO,88189631,133.147,-1.523,AAAA.txt,0.21052631578947367,CCCOC(=O)NCCCN(C)C.Cl
NC(=O)CCn1ccc(=O)[nH]c1=O,43639298,183.167,-1.588,AAAA.txt,0.22916666666666666,CCCN1C(=O)C2=CC=CC=C2NC1=O
NC1=NC(=O)CO1,17173516,100.077,-1.142,AAAA.txt,0.21212121212121213,C1=NNC(=O)C(=C1N)Cl
O=C(O)[C@@H]1C[C@H]2O[C@H]1[C@H](O)[C@H]2O,306392345,174.152,-1.42,AAAA.txt,0.2647058823529412,C1C=CCC(C1C(=O)N)C(=O)O
CN(C)c1nc(N)nc(CN)n1,54957011,168.204,-1.022,AAAA.txt,0.2916666666666667,C1(=NC(=NC(=N1)N)N)N
N[C@H](CO)C1COC1,107395544,117.148,-1.048,AAAA.txt,0.2,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
CCNC(CO)(CO)CO,5858487,149.19,-1.688,AAAA.txt,0.21739130434782608,CCCCCCCCCCCCCCO
NC1[C@H]2CS(=O)(=O)C[C@H]12,211858069,147.199,-1.012,AAAA.txt,0.21212121212121213,C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
CC(=O)N1CCNC[C@@H]1C(=O)O,79438259,172.184,-1.109,AAAA.txt,0.20588235294117646,CC(=O)O.C1=NNN=C1
CS(=O)(=O)NCCO,19780741,139.176,-1.472,AAAA.txt,0.25,C[N+](C)(C)CCO.[Cl-]
CN(CC(N)=O)C[C@H]1CNCCO1,70649570,187.243,-1.608,AAAA.txt,0.20833333333333334,CCN(C)C.C1CC2C(C(C1O2)C(=O)O)C(=O)O
CN1CC(=O)NC(=O)C1,57211596,128.131,-1.425,AAAA.txt,0.2962962962962963,CCN1C(=O)C(=O)NC1=O
Cn1nnc(NC(=O)CCN)n1,306553185,170.176,-1.503,AAAA.txt,0.23404255319148937,CN1C=C(C(=N1)C(F)(F)F)C(=O)N
CC(C)[C@H]1NS(=O)(=O)NC1=O,143594347,178.213,-1.025,AAAA.txt,0.23809523809523808,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O
NC(=O)Cn1ccc(N)n1,36379842,140.146,-1.049,AAAA.txt,0.2619047619047619,CN1C=C(C(=N1)C(F)(F)F)C(=O)N
NCC(=O)N[C@@H](CO)C(=O)O,1635605,162.145,-2.493,AAAA.txt,0.2413793103448276,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
CNC[C@@H](O)CN,34165484,104.153,-1.475,AAAA.txt,0.21052631578947367,CC(C)O
NC(=O)[C@@H](N)[C@H]1CCOC1,37870615,144.174,-1.165,AAAA.txt,0.22448979591836735,CN=C(NCC1CCOC1)N[N+](=O)[O-]
CS(=O)(=O)CC[C@@H](O)CN,82853079,167.23,-1.259,AAAA.txt,0.20689655172413793,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
CN1CCN[C@H](C(N)=O)C1=O,139171469,157.173,-2.098,AAAA.txt,0.2571428571428571,CN1CCCC1=O
